time,pr,scenario,region,pr_day
2086-12-31 00:00:00,2.4370218e-05,ssp126,Europe,2.1055868
2087-12-31 00:00:00,2.4892986e-05,ssp126,Europe,2.150754
2088-12-31 00:00:00,2.5275232e-05,ssp126,Europe,2.1837802
2089-12-31 00:00:00,2.4873414e-05,ssp126,Europe,2.1490629
2090-12-31 00:00:00,2.4781213e-05,ssp126,Europe,2.1410968
2091-12-31 00:00:00,2.510716e-05,ssp126,Europe,2.1692586
2092-12-31 00:00:00,2.5161942e-05,ssp126,Europe,2.173992
2093-12-31 00:00:00,2.4748726e-05,ssp126,Europe,2.13829
2094-12-31 00:00:00,2.4008104e-05,ssp126,Europe,2.0743003
2095-12-31 00:00:00,2.459572e-05,ssp126,Europe,2.12507
2096-12-31 00:00:00,2.3897404e-05,ssp126,Europe,2.0647357
2097-12-31 00:00:00,2.4534973e-05,ssp126,Europe,2.1198215
2098-12-31 00:00:00,2.3907078e-05,ssp126,Europe,2.0655715
2099-12-31 00:00:00,2.4598628e-05,ssp126,Europe,2.1253214
2100-12-31 00:00:00,2.3823288e-05,ssp126,Europe,2.058332
2015-12-31 00:00:00,2.4314204e-05,ssp126,Africa,2.100747
2016-12-31 00:00:00,2.46116e-05,ssp126,Africa,2.1264422
2017-12-31 00:00:00,2.3305896e-05,ssp126,Africa,2.0136294
2018-12-31 00:00:00,2.3338791e-05,ssp126,Africa,2.0164716
2019-12-31 00:00:00,2.4058778e-05,ssp126,Africa,2.0786784
2020-12-31 00:00:00,2.4135641e-05,ssp126,Africa,2.0853193
2021-12-31 00:00:00,2.203931e-05,ssp126,Africa,1.9041964
2022-12-31 00:00:00,2.2866117e-05,ssp126,Africa,1.9756325
2023-12-31 00:00:00,2.3731152e-05,ssp126,Africa,2.0503716
2024-12-31 00:00:00,2.3976065e-05,ssp126,Africa,2.071532
2025-12-31 00:00:00,2.3541375e-05,ssp126,Africa,2.033975
2026-12-31 00:00:00,2.2087499e-05,ssp126,Africa,1.9083599
2027-12-31 00:00:00,2.3196475e-05,ssp126,Africa,2.0041754
2028-12-31 00:00:00,2.3091647e-05,ssp126,Africa,1.9951183
2029-12-31 00:00:00,2.4225856e-05,ssp126,Africa,2.093114
2030-12-31 00:00:00,2.548973e-05,ssp126,Africa,2.2023127
2031-12-31 00:00:00,2.4206174e-05,ssp126,Africa,2.0914135
2032-12-31 00:00:00,2.411504e-05,ssp126,Africa,2.0835395
2033-12-31 00:00:00,2.546515e-05,ssp126,Africa,2.2001889
2034-12-31 00:00:00,2.490287e-05,ssp126,Africa,2.151608
2035-12-31 00:00:00,2.4473537e-05,ssp126,Africa,2.1145136
2036-12-31 00:00:00,2.5841819e-05,ssp126,Africa,2.232733
2037-12-31 00:00:00,2.5156958e-05,ssp126,Africa,2.173561
2038-12-31 00:00:00,2.4495954e-05,ssp126,Africa,2.1164503
2039-12-31 00:00:00,2.3983213e-05,ssp126,Africa,2.0721498
2040-12-31 00:00:00,2.5381949e-05,ssp126,Africa,2.1930003
2041-12-31 00:00:00,2.480278e-05,ssp126,Africa,2.1429603
2042-12-31 00:00:00,2.3205865e-05,ssp126,Africa,2.0049868
2043-12-31 00:00:00,2.2855997e-05,ssp126,Africa,1.9747581
2044-12-31 00:00:00,2.3559029e-05,ssp126,Africa,2.0355
2045-12-31 00:00:00,2.6500325e-05,ssp126,Africa,2.289628
2046-12-31 00:00:00,2.3960969e-05,ssp126,Africa,2.0702276
2047-12-31 00:00:00,2.4249337e-05,ssp126,Africa,2.0951426
2048-12-31 00:00:00,2.4627006e-05,ssp126,Africa,2.1277733
2049-12-31 00:00:00,2.4513365e-05,ssp126,Africa,2.1179547
2050-12-31 00:00:00,2.4198938e-05,ssp126,Africa,2.0907884
2051-12-31 00:00:00,2.5733805e-05,ssp126,Africa,2.2234008
2052-12-31 00:00:00,2.566719e-05,ssp126,Africa,2.2176452
2053-12-31 00:00:00,2.2943965e-05,ssp126,Africa,1.9823586
2054-12-31 00:00:00,2.2974209e-05,ssp126,Africa,1.9849716
2055-12-31 00:00:00,2.4576713e-05,ssp126,Africa,2.123428
2056-12-31 00:00:00,2.6513342e-05,ssp126,Africa,2.2907526
2057-12-31 00:00:00,2.376105e-05,ssp126,Africa,2.0529547
2058-12-31 00:00:00,2.460584e-05,ssp126,Africa,2.1259446
